employee_id,full_name,email,department,title,hire_date,term_date,employment_type,status
E00441,Jennifer Jordan,jennifer.jordan@meridian-energy.com,executive,Careers information officer,2013-12-27,,FTE,active
E00086,Jenna Fleming,jenna.fleming@meridian-energy.com,Engineering,Human resources officer,2019-03-26,,FTE,active
E00337,Bryan Torres,bryan.torres@meridian-energy.com,Operations,Manufacturing engineer,2015-12-10,,FTE,active
E00292,Mackenzie Mason,mackenzie.mason@meridian-energy.com,Operations,Actuary,2017-06-08,,FTE,active
E00919,Ronald Perry,ronald.perry@meridian-energy.com,Marketing,Higher education careers adviser,2015-07-24,,FTE,active
E00287,Mathew DDS,mathew.dds@meridian-energy.com,Operations,Mining engineer,2023-06-02,,FTE,active
E00035,Joanne Blankenship,joanne.blankenship@meridian-energy.com,operations,Engineering geologist,2024-06-03,,FTE,active
E00163,Adam Monroe,adam.monroe@meridian-energy.com,Operations,Medical sales representative,2022-05-16,,FTE,active
E00494,Joshua Elliott,joshua.elliott@meridian-energy.com,Operations,"Lecturer, higher education",2025-09-01,,FTE,active
E00527,Nicholas Ayers,nicholas.ayers@meridian-energy.com,Field Services,Agricultural consultant,2014-05-26,,Contractor,active
E00014,Leah Taylor,leah.taylor@meridian-energy.com,Field Services,Materials engineer,2022-03-30,,FTE,active
E00063,Nicole Bowen,nicole.bowen@meridian-energy.com,Operations,Industrial/product designer,2024-11-26,,FTE,active
E01163,Jennifer Gallagher,jennifer.gallagher@meridian-energy.com,Operations,"Scientist, physiological",2019-06-24,2026-09-15,Contractor,active
E00153,Steven Logan,steven.logan@meridian-energy.com,Field Services,"Engineer, manufacturing systems",2025-03-19,,FTE,active
E00762,Pamela Burch,pamela.burch@meridian-energy.com,Marketing,Estate manager/land agent,2016-06-28,,FTE,active
E00949,Shane Simon,shane.simon@meridian-energy.com,Operations,"Engineer, maintenance (IT)",2014-01-13,,FTE,active
E00478,Matthew Long,matthew.long@meridian-energy.com,Customer Care,Clothing/textile technologist,2018-11-14,,Contractor,active
E00460,Erik Black,erik.black@meridian-energy.com,Operations,Fisheries officer,2016-08-31,,FTE,active
E01185,Natalie Graham,natalie.graham@meridian-energy.com,Customer Care,"Engineer, structural",2014-10-17,,FTE,active
E00650,Michelle Thompson,michelle.thompson@meridian-energy.com,Operations,Arts administrator,2018-06-11,,FTE,active
E00015,John Simon,john.simon@meridian-energy.com,Operations,Tourism officer,2017-12-30,,FTE,active
E00843,John Clements,john.clements@meridian-energy.com,Operations,Emergency planning/management officer,2017-04-02,,FTE,active
E00542,Robert Stevenson,robert.stevenson@meridian-energy.com,Field Services,Outdoor activities/education manager,2025-09-12,,FTE,active
E00991,Corey Mccann,corey.mccann@meridian-energy.com,Operations,Location manager,2012-04-08,,FTE,active
E00940,Susan Page,susan.page@meridian-energy.com,Engineering,Arts administrator,2018-03-22,,Contractor,active
E01175,Matthew Mckinney,matthew.mckinney@meridian-energy.com,Customer Care,"Scientist, forensic",2017-10-02,,FTE,active
E00104,Samantha Owens,samantha.owens@meridian-energy.com,Field Services,Broadcast presenter,2017-08-19,,FTE,active
E00476,Jonathan Wells,jonathan.wells@meridian-energy.com,Operations,Immigration officer,2022-05-04,,FTE,active
E00666,Melanie Smith,melanie.smith@meridian-energy.com,Customer Care,"Surveyor, quantity",2014-05-16,,FTE,active
E00299,Joanne Mitchell,joanne.mitchell@meridian-energy.com,Operations,Writer,2019-01-16,,FTE,active
E00126,Stephen Harris,stephen.harris@meridian-energy.com,Customer Care,"Psychologist, sport and exercise",2020-10-23,,Contractor,active
E00051,Kim Castillo,kim.castillo@meridian-energy.com,Operations,Advice worker,2012-01-31,,FTE,active
E00459,Travis Carter,travis.carter@meridian-energy.com,Operations,Youth worker,2019-06-18,,FTE,active
E00749,Jamie Leon,jamie.leon@meridian-energy.com,Field Services,Nutritional therapist,2020-11-16,,FTE,active
E00712,Dustin York,dustin.york@meridian-energy.com,Operations,Armed forces technical officer,2016-05-10,,FTE,active
E00727,Jordan James,jordan.james@meridian-energy.com,Operations,Warden/ranger,2022-11-27,,FTE,active
E00095,Wesley Morgan,wesley.morgan@meridian-energy.com,Operations,"Therapist, music",2020-10-08,,FTE,active
E00380,Justin Parrish,justin.parrish@meridian-energy.com,Customer Care,Learning mentor,2023-06-07,,FTE,active
E00377,Vincent Peterson,vincent.peterson@meridian-energy.com,Sales & Key Accounts,International aid/development worker,2018-04-23,,FTE,active
E01016,Jared Randall,jared.randall@meridian-energy.com,Operations,Information officer,2015-06-13,,FTE,active
E00945,Jeremy Hernandez,jeremy.hernandez@meridian-energy.com,Operations,Early years teacher,2012-08-07,,FTE,active
E00709,James Fernandez,james.fernandez@meridian-energy.com,Operations,Tree surgeon,2024-01-01,,FTE,active
E00216,Brittney Allen,brittney.allen@meridian-energy.com,Field Services,"Engineer, energy",2025-04-25,,FTE,active
E00649,Benjamin Fitzpatrick,benjamin.fitzpatrick@meridian-energy.com,Operations,Production manager,2014-04-20,,FTE,active
E00311,Alex Norman,alex.norman@meridian-energy.com,Customer Care,Editorial assistant,2012-08-08,,FTE,active
E00764,Carolyn Hutchinson,carolyn.hutchinson@meridian-energy.com,Customer Care,"Scientist, water quality",2017-07-19,,FTE,active
E00828,Jeffrey Hernandez,jeffrey.hernandez@meridian-energy.com,Field Services,Plant breeder/geneticist,2018-11-03,,FTE,active
E00859,Jennifer Cantrell,jennifer.cantrell@meridian-energy.com,Field Services,Systems developer,2026-07-29,,FTE,active
E01095,Cheryl Cole,cheryl.cole@meridian-energy.com,Engineering,Environmental health practitioner,2015-07-05,,FTE,active
E00834,Jeremy Terry,jeremy.terry@meridian-energy.com,Field Services,Planning and development surveyor,2014-12-16,2026-09-14,FTE,terminated
E00328,Jacob Sanders,jacob.sanders@meridian-energy.com,Operations,Oncologist,2016-06-09,,FTE,active
E00227,Ashley Mcbride,ashley.mcbride@meridian-energy.com,Operations,"Optician, dispensing",2024-05-19,,FTE,active
E00423,Roger DDS,roger.dds@meridian-energy.com,Operations,Musician,2020-04-27,,FTE,active
E00082,Katherine Fowler,katherine.fowler@meridian-energy.com,Customer Care,"Engineer, civil (consulting)",2019-04-09,,FTE,active
E00689,David Nguyen,david.nguyen@meridian-energy.com,Sales & Key Accounts,Conference centre manager,2021-08-18,,FTE,active
E00440,Nicole Flynn,nicole.flynn@meridian-energy.com,Field Services,Medical sales representative,2018-06-01,,Contractor,active
E00167,Pamela Jones,pamela.jones@meridian-energy.com,Operations,"Psychologist, clinical",2024-01-17,,FTE,active
E00761,John Lambert,john.lambert@meridian-energy.com,Engineering,Systems analyst,2023-02-11,,FTE,active
E00950,Elijah Hayes,elijah.hayes@meridian-energy.com,Field Services,Public relations account executive,2021-05-15,,Contractor,active
E00785,Michael Sanchez,michael.sanchez@meridian-energy.com,Operations,Hospital doctor,2021-11-19,,FTE,active
E00026,John Burnett,john.burnett@meridian-energy.com,Field Services,Probation officer,2025-10-28,,Contractor,active
E00018,Matthew Maxwell,matthew.maxwell@meridian-energy.com,Engineering,Further education lecturer,2024-12-05,,FTE,active
E00003,Juan Gallegos,juan.gallegos@meridian-energy.com,Operations,Emergency planning/management officer,2025-04-26,,FTE,active
E00198,Mark Davis,mark.davis@meridian-energy.com, Customer Care ,Accommodation manager,2022-12-31,,FTE,active
E00395,Robert Wood,robert.wood@meridian-energy.com,Field Services,"Engineer, mining",2012-08-15,,FTE,active
E01128,Glenn Richardson,glenn.richardson@meridian-energy.com,Information Technology,Office manager,2012-04-28,,FTE,active
E00213,Joanna Fuentes,joanna.fuentes@meridian-energy.com,Field Services,"Programmer, multimedia",2024-05-30,,Contractor,active
E00567,David Patterson,david.patterson@meridian-energy.com,Field Services,Customer service manager,2018-11-26,,Contractor,active
E00295,Jacqueline Jackson,jacqueline.jackson@meridian-energy.com,Field Services,"Psychologist, clinical",2018-07-27,,FTE,active
E00180,Ashley Lee,ashley.lee@meridian-energy.com,Operations,"Scientist, forensic",2018-05-15,,FTE,active
E00983,Charles Gates,charles.gates@meridian-energy.com,Operations,Commercial art gallery manager,2023-11-10,,FTE,active
E00267,Rachel Ray,rachel.ray@meridian-energy.com,Operations,Television floor manager,2017-06-28,,FTE,active
E00708,Tara Guerra,tara.guerra@meridian-energy.com,Marketing,Contractor,2018-03-21,,FTE,active
E00036,Jennifer Mills,jennifer.mills@meridian-energy.com,operations,"Chemist, analytical",2012-11-04,,FTE,active
E00121,Yvonne Wong,yvonne.wong@meridian-energy.com,Engineering,Animal nutritionist,2016-02-05,,FTE,active
E00766,Andrea Barry,andrea.barry@meridian-energy.com,Customer Care,"Administrator, sports",2023-04-04,,FTE,active
E00206,Jamie Fisher,jamie.fisher@meridian-energy.com,Operations,"Lecturer, further education",2011-12-21,,FTE,active
E00289,Evan Hanson,evan.hanson@meridian-energy.com,Human Resources,Learning disability nurse,2024-04-10,,FTE,active
E01039,Michelle Hernandez,michelle.hernandez@meridian-energy.com,Operations,Barrister's clerk,2018-11-23,,FTE,active
E00802,Melissa Nguyen,melissa.nguyen@meridian-energy.com,Finance & Accounting,Artist,2025-07-08,,FTE,active
E00914,Robert Evans,robert.evans@meridian-energy.com,Operations,Seismic interpreter,2023-12-05,,FTE,active
E00236,Daniel Cannon,daniel.cannon@meridian-energy.com,Operations,Publishing rights manager,2016-01-25,,FTE,active
E00688,Mary Ho,mary.ho@meridian-energy.com,Finance & Accounting,"Psychologist, sport and exercise",2012-02-19,,FTE,active
E01102,Erica Duffy,erica.duffy@meridian-energy.com,Field Services,Press photographer,2026-07-27,,FTE,active
E01198,Michael Thomas,michael.thomas@meridian-energy.com,Field Services,Dramatherapist,2014-04-11,,Contractor,active
E00570,Cynthia Gonzalez,cynthia.gonzalez@meridian-energy.com,Field Services,"Designer, fashion/clothing",2022-06-10,,FTE,active
E01187,Christopher Jones,christopher.jones@meridian-energy.com,Customer Care,Company secretary,2026-06-03,,FTE,active
E00787,Sean Ruiz,sean.ruiz@meridian-energy.com,Engineering,Armed forces operational officer,2018-08-31,,FTE,active
E00796,Jamie Hill,jamie.hill@meridian-energy.com,Customer Care,Retail banker,2023-09-26,,FTE,active
E00360,Sarah Palmer,sarah.palmer@meridian-energy.com,Engineering,TEFL teacher,2012-10-07,,FTE,active
E00710,Micheal Nunez,micheal.nunez@meridian-energy.com, Operations ,Careers information officer,2018-08-12,,FTE,active
E01164,Catherine Harris,catherine.harris@meridian-energy.com,Operations,Haematologist,2022-01-06,,FTE,active
E00697,Monique Duncan,monique.duncan@meridian-energy.com,Operations,"Journalist, newspaper",2021-12-24,,FTE,active
E00133,Jonathan Phillips,jonathan.phillips@meridian-energy.com,Engineering,Production manager,2022-09-27,,FTE,active
E00908,William Mccarthy,william.mccarthy@meridian-energy.com,Operations,"Designer, blown glass/stained glass",2015-08-15,,FTE,active
E00496,Mark Dunn,mark.dunn@meridian-energy.com,Marketing,Medical secretary,2025-02-04,,FTE,active
E00462,Meghan Murphy,meghan.murphy@meridian-energy.com,Engineering,Airline pilot,2017-01-03,,FTE,active
E00387,Benjamin Stafford,benjamin.stafford@meridian-energy.com,Procurement,Insurance risk surveyor,2025-12-06,,FTE,active
E00252,Ian Garcia,ian.garcia@meridian-energy.com,ENGINEERING,"Civil engineer, consulting",2016-05-29,,FTE,active
E00628,Katelyn Salazar,katelyn.salazar@meridian-energy.com,Operations,Medical secretary,2015-06-14,,FTE,active
E00686,Heather Griffith,heather.griffith@meridian-energy.com,Marketing,Arts administrator,2011-10-07,,FTE,active
E00145,Rhonda Baker,rhonda.baker@meridian-energy.com,Field Services,Social worker,2018-03-18,,Contractor,active
E00256,Sharon Hicks,sharon.hicks@meridian-energy.com,Operations,"Engineer, drilling",2025-10-10,,FTE,active
E00383,Albert Perry,albert.perry@meridian-energy.com,CUSTOMER CARE,Astronomer,2012-05-08,,FTE,active
E00286,Jeffrey Garcia,jeffrey.garcia@meridian-energy.com,Operations,Theatre stage manager,2012-11-10,,FTE,active
E01131,Justin Ford,justin.ford@meridian-energy.com,Operations,Set designer,2013-08-19,,FTE,active
E01036,Destiny Wallace,destiny.wallace@meridian-energy.com,Human Resources,Theatre manager,2017-06-10,,FTE,active
E00455,Kimberly Blair,kimberly.blair@meridian-energy.com,Operations,Music tutor,2023-06-01,,FTE,active
E00816,Rita Zuniga,rita.zuniga@meridian-energy.com,Operations,Financial trader,2015-04-11,,FTE,active
E01126,Brian Jones,brian.jones@meridian-energy.com,Field Services,"Teacher, primary school",2013-12-07,,Contractor,active
E00861,Kimberly Pearson,kimberly.pearson@meridian-energy.com,Customer Care,Special effects artist,2023-10-31,,FTE,active
E00344,James Martinez,james.martinez@meridian-energy.com,Field Services,Best boy,2024-12-18,,FTE,active
E00318,Donald Thompson,donald.thompson@meridian-energy.com,Customer Care,Geographical information systems officer,2015-06-09,,FTE,active
E00221,Shawn Gomez,shawn.gomez@meridian-energy.com,Information Technology,Museum/gallery curator,2017-05-06,,FTE,active
E00614,Linda Thornton,linda.thornton@meridian-energy.com,Operations,Operational investment banker,2017-02-07,,FTE,active
E00483,Tamara Green,tamara.green@meridian-energy.com,Operations,"Radiographer, therapeutic",2013-08-30,,FTE,active
E00101,Eric Murphy,eric.murphy@meridian-energy.com,Field Services,Broadcast engineer,2022-02-22,,FTE,active
E00602,Tony Reid,tony.reid@meridian-energy.com,Operations,Forest/woodland manager,2021-10-11,,FTE,active
E00008,Margaret Marshall,margaret.marshall@meridian-energy.com,Operations,Cabin crew,2020-10-03,,FTE,active
E00172,Lori Thomas,lori.thomas@meridian-energy.com,Operations,Marine scientist,2018-11-27,,FTE,active
E00188,Susan Avila,susan.avila@meridian-energy.com,Field Services,Risk manager,2014-04-09,,FTE,active
E00080,Meghan Brewer,meghan.brewer@meridian-energy.com,SALES & KEY ACCOUNTS,Musician,2015-08-27,,FTE,active
E01194,Robert Stewart,robert.stewart@meridian-energy.com,Operations,Site engineer,2018-09-01,,FTE,active
E00291,Ryan Frazier,ryan.frazier@meridian-energy.com,Sales & Key Accounts,Lexicographer,2020-08-19,,FTE,active
E00548,Jeanette Hudson,jeanette.hudson@meridian-energy.com,Operations,Regulatory affairs officer,2021-05-20,,FTE,active
E00651,Troy Miranda,troy.miranda@meridian-energy.com, Operations ,Newspaper journalist,2014-06-01,,FTE,active
E00880,Shannon Cook,shannon.cook@meridian-energy.com,Field Services,Public relations account executive,2012-12-13,,Contractor,active
E01091,Selena Cole,selena.cole@meridian-energy.com,Field Services,Quantity surveyor,2022-01-27,,FTE,active
E01119,Curtis Trevino,curtis.trevino@meridian-energy.com,Operations,Copy,2013-02-07,,FTE,active
E00451,Brian Davis,brian.davis@meridian-energy.com,Operations,Psychiatrist,2023-09-28,,FTE,active
E01144,Dale Stephenson,dale.stephenson@meridian-energy.com,Marketing,Marketing executive,2015-12-28,,FTE,active
E00643,Gregory Martinez,gregory.martinez@meridian-energy.com,Customer Care,Corporate investment banker,2018-04-21,,FTE,active
E00071,Scott Lewis,scott.lewis@meridian-energy.com,Field Services,Tourist information centre manager,2025-06-30,,FTE,active
E00176,Kaitlin Craig,kaitlin.craig@meridian-energy.com,Field Services,Counselling psychologist,2026-04-14,,Contractor,active
E01108,William Hall,william.hall@meridian-energy.com,Operations,"Engineer, maintenance (IT)",2022-08-09,,FTE,active
